#separator:|
#html:true
identique ≠ différent|<b>Meaning</b>: identical ≠ different<br><b>Phrase: </b><i>Ces deux choses sont identiques. / Ces deux choses sont différentes.</i>|dossier-0 caractériser dossier-0-leçon-1
doux (douce)|<b>Meaning</b>: gentle/soft<br><b>Phrase: </b><i>Il est doux. / Elle est douce.</i>|dossier-3 caractériser dossier-3-leçon-2
dynamique|<b>Meaning</b>: dynamic<br><b>Phrase: </b><i>Il est dynamique.</i>|dossier-3 caractériser dossier-3-leçon-2
élégant(e)|<b>Meaning</b>: elegant<br><b>Phrase: </b><i>Il est élégant. / Elle est élégante.</i>|dossier-3 caractériser dossier-3-leçon-2
généreux(euse)|<b>Meaning</b>: generous<br><b>Phrase: </b><i>Il est généreux. / Elle est généreuse.</i>|dossier-3 caractériser dossier-3-leçon-2
grand(e) ≠ petit(e)|<b>Meaning</b>: tall/big ≠ short/small<br><b>Phrase: </b><i>Il est grand. / Elle est petite.</i>|dossier-3 caractériser dossier-3-leçon-2
indécis(e)|<b>Meaning</b>: indecisive<br><b>Phrase: </b><i>Il est indécis. / Elle est indécise.</i>|dossier-3 caractériser dossier-3-leçon-2
intelligent(e)|<b>Meaning</b>: intelligent<br><b>Phrase: </b><i>Il est intelligent. / Elle est intelligente.</i>|dossier-3 caractériser dossier-3-leçon-2
libre|<b>Meaning</b>: free<br><b>Phrase: </b><i>Je suis libre.</i>|dossier-3 caractériser dossier-3-leçon-2
menteur(euse)|<b>Meaning</b>: liar<br><b>Phrase: </b><i>Il est menteur. / Elle est menteuse.</i>|dossier-3 caractériser dossier-3-leçon-2
mince ≠ rond(e)|<b>Meaning</b>: thin ≠ round/chubby<br><b>Phrase: </b><i>Il est mince. / Elle est ronde.</i>|dossier-3 caractériser dossier-3-leçon-2
optimiste|<b>Meaning</b>: optimistic<br><b>Phrase: </b><i>Il est optimiste.</i>|dossier-3 caractériser dossier-3-leçon-2
organisé(e)|<b>Meaning</b>: organized<br><b>Phrase: </b><i>Il est organisé. / Elle est organisée.</i>|dossier-3 caractériser dossier-3-leçon-2
patient(e)|<b>Meaning</b>: patient<br><b>Phrase: </b><i>Il est patient. / Elle est patiente.</i>|dossier-3 caractériser dossier-3-leçon-2
positif(ive)|<b>Meaning</b>: positive<br><b>Phrase: </b><i>Il est positif. / Elle est positive.</i>|dossier-3 caractériser dossier-3-leçon-2
responsable|<b>Meaning</b>: responsible<br><b>Phrase: </b><i>Il est responsable.</i>|dossier-3 caractériser dossier-3-leçon-2
romantique|<b>Meaning</b>: romantic<br><b>Phrase: </b><i>Il est romantique.</i>|dossier-3 caractériser dossier-3-leçon-2
sérieux(euse)|<b>Meaning</b>: serious<br><b>Phrase: </b><i>Il est sérieux. / Elle est sérieuse.</i>|dossier-3 caractériser dossier-3-leçon-2
superficiel(le)|<b>Meaning</b>: superficial<br><b>Phrase: </b><i>Il est superficiel. / Elle est superficielle.</i>|dossier-3 caractériser dossier-3-leçon-2
timide|<b>Meaning</b>: shy<br><b>Phrase: </b><i>Il est timide.</i>|dossier-3 caractériser dossier-3-leçon-2
une annonce|<b>Meaning</b>: an advertisement<br><b>Phrase: </b><i>J'ai vu une annonce.</i>|dossier-3 les-écrits dossier-3-leçon-2
une enquête|<b>Meaning</b>: an investigation/survey<br><b>Phrase: </b><i>Je fais une enquête.</i>|dossier-3 les-écrits dossier-3-leçon-2
avoir horreur de (la routine)|<b>Meaning</b>: to hate (routine)<br><b>Phrase: </b><i>J'ai horreur de la routine.</i>|dossier-3 les-goûts dossier-3-leçon-2
être passionné(e) par (la musique)|<b>Meaning</b>: to be passionate about (music)<br><b>Phrase: </b><i>Je suis passionné par la musique. / Je suis passionnée par la musique.</i>|dossier-3 les-goûts dossier-3-leçon-2
s'intéresser à (l'art)|<b>Meaning</b>: to be interested in (art)<br><b>Phrase: </b><i>Je m'intéresse à l'art.</i>|dossier-3 les-goûts dossier-3-leçon-2
un(e) artiste|<b>Meaning</b>: an artist<br><b>Phrase: </b><i>Il est artiste. / Elle est artiste.</i>|dossier-3 les-professions dossier-3-leçon-2
un(e) dessinateur(trice)|<b>Meaning</b>: a designer/drawer<br><b>Phrase: </b><i>Il est dessinateur. / Elle est dessinatrice.</i>|dossier-3 les-professions dossier-3-leçon-2
célibataire|<b>Meaning</b>: single<br><b>Phrase: </b><i>Je suis célibataire.</i>|dossier-3 les-relations dossier-3-leçon-2
fonder une famille|<b>Meaning</b>: to start a family<br><b>Phrase: </b><i>Je veux fonder une famille.</i>|dossier-3 les-relations dossier-3-leçon-2
partager|<b>Meaning</b>: to share<br><b>Phrase: </b><i>J'aime partager.</i>|dossier-3 les-relations dossier-3-leçon-2
vivre seul(e)|<b>Meaning</b>: to live alone<br><b>Phrase: </b><i>Je vis seul. / Je vis seule.</i>|dossier-3 les-relations dossier-3-leçon-2
C'est mon beau-frère. / C'est ma belle-sœur.|<b>Meaning</b>: It's my brother-in-law. / It's my sister-in-law.<br><b>Phrase: </b><i>C'est mon beau-frère. / C'est ma belle-sœur.</i>|dossier-3 la-famille dossier-3-leçon-3
l'oncle (m.), la tante|<b>Meaning</b>: the uncle, the aunt<br><b>Phrase: </b><i>C'est mon oncle. / C'est ma tante.</i>|dossier-3 la-famille dossier-3-leçon-3
le cousin, la cousine|<b>Meaning</b>: the cousin (m.), the cousin (f.)<br><b>Phrase: </b><i>C'est mon cousin. / C'est ma cousine.</i>|dossier-3 la-famille dossier-3-leçon-3
le neveu, la nièce|<b>Meaning</b>: the nephew, the niece<br><b>Phrase: </b><i>C'est mon neveu. / C'est ma nièce.</i>|dossier-3 la-famille dossier-3-leçon-3
l'état physique|{'aller/se sentir bien (mieux) ≠ mal': '<b>Meaning</b>: to feel well (better) ≠ badly<br><b>Phrase: </b><i>Je vais bien. / Je me sens bien. / Je vais mieux. / Je me sens mieux. / Je vais mal. / Je me sens mal.</i>', 'avoir mal à': "<b>Meaning</b>: to have pain in<br><b>Phrase: </b><i>J'ai mal à la tête.</i>"}|dossier-3 le-physique dossier-3-leçon-3
le corps|{"l'épaule (f.)": "<b>Meaning</b>: the shoulder<br><b>Phrase: </b><i>C'est mon épaule.</i>", "l'œil (m.)": "<b>Meaning</b>: the eye<br><b>Phrase: </b><i>C'est mon œil.</i>", "l'oreille (f.)": "<b>Meaning</b>: the ear<br><b>Phrase: </b><i>C'est mon oreille.</i>", 'la bouche': "<b>Meaning</b>: the mouth<br><b>Phrase: </b><i>C'est ma bouche.</i>", 'la jambe': "<b>Meaning</b>: the leg<br><b>Phrase: </b><i>C'est ma jambe.</i>", 'la main': "<b>Meaning</b>: the hand<br><b>Phrase: </b><i>C'est ma main.</i>", 'la tête': "<b>Meaning</b>: the head<br><b>Phrase: </b><i>C'est ma tête.</i>", 'le bras': "<b>Meaning</b>: the arm<br><b>Phrase: </b><i>C'est mon bras.</i>", 'le dos': "<b>Meaning</b>: the back<br><b>Phrase: </b><i>C'est mon dos.</i>", 'le nez': "<b>Meaning</b>: the nose<br><b>Phrase: </b><i>C'est mon nez.</i>", 'le pied': "<b>Meaning</b>: the foot<br><b>Phrase: </b><i>C'est mon pied.</i>", 'le ventre': "<b>Meaning</b>: the stomach<br><b>Phrase: </b><i>C'est mon ventre.</i>", 'les cheveux (m.)': '<b>Meaning</b>: the hair<br><b>Phrase: </b><i>Ce sont mes cheveux.</i>', 'les dents (f.)': '<b>Meaning</b>: the teeth<br><b>Phrase: </b><i>Ce sont mes dents.</i>', 'les yeux (m.)': '<b>Meaning</b>: the eyes<br><b>Phrase: </b><i>Ce sont mes yeux.</i>', 'mesurer (1 mètre 70)': '<b>Meaning</b>: to measure (1 meter 70)<br><b>Phrase: </b><i>Je mesure 1 mètre 70.</i>', 'peser (70 kilos)': '<b>Meaning</b>: to weigh (70 kilos)<br><b>Phrase: </b><i>Je pèse 70 kilos.</i>', "ressembler à quelqu'un": '<b>Meaning</b>: to look like someone<br><b>Phrase: </b><i>Je ressemble à ma mère.</i>'}|dossier-3 le-physique dossier-3-leçon-3
un album de photos|<b>Meaning</b>: a photo album<br><b>Phrase: </b><i>Voici un album de photos.</i>|dossier-3 les-écrit-et-images dossier-3-leçon-3
un arbre généalogique|<b>Meaning</b>: a family tree<br><b>Phrase: </b><i>Voici un arbre généalogique.</i>|dossier-3 les-écrit-et-images dossier-3-leçon-3
un SMS = un texto|<b>Meaning</b>: a text message<br><b>Phrase: </b><i>J'envoie un SMS. / J'envoie un texto.</i>|dossier-3 les-écrit-et-images dossier-3-leçon-3
annoncer une nouvelle|<b>Meaning</b>: to announce news<br><b>Phrase: </b><i>Je vais annoncer une nouvelle.</i>|dossier-3 les-événements dossier-3-leçon-3
décéder|<b>Meaning</b>: to pass away/to die<br><b>Phrase: </b><i>Il est décédé.</i>|dossier-3 les-événements dossier-3-leçon-3
des vœux (m.) de bonheur (m.)|<b>Meaning</b>: wishes of happiness<br><b>Phrase: </b><i>Je vous adresse mes vœux de bonheur.</i>|dossier-3 les-événements dossier-3-leçon-3
être heureux (d'annoncer)|<b>Meaning</b>: to be happy (to announce)<br><b>Phrase: </b><i>Je suis heureux d'annoncer...</i>|dossier-3 les-événements dossier-3-leçon-3
féliciter|<b>Meaning</b>: to congratulate<br><b>Phrase: </b><i>Je te félicite.</i>|dossier-3 les-événements dossier-3-leçon-3
naître|<b>Meaning</b>: to be born<br><b>Phrase: </b><i>Je suis né en 1990.</i>|dossier-3 les-événements dossier-3-leçon-3
réagir à un événement|<b>Meaning</b>: to react to an event<br><b>Phrase: </b><i>Comment réagir à un événement?</i>|dossier-3 les-événements dossier-3-leçon-3
se marier|<b>Meaning</b>: to get married<br><b>Phrase: </b><i>Ils vont se marier.</i>|dossier-3 les-événements dossier-3-leçon-3
un faire-part de mariage (m.)/de naissance (f.)/de décès (m.)|<b>Meaning</b>: a wedding announcement / a birth announcement / a death announcement<br><b>Phrase: </b><i>Voici un faire-part de mariage. / Voici un faire-part de naissance. / Voici un faire-part de décès.</i>|dossier-3 les-événements dossier-3-leçon-3
une bonne nouvelle ≠ une triste/mauvaise nouvelle|<b>Meaning</b>: good news ≠ sad/bad news<br><b>Phrase: </b><i>C'est une bonne nouvelle. / C'est une triste nouvelle.</i>|dossier-3 les-événements dossier-3-leçon-3
devoir|<b>Meaning</b>: to have to/must<br><b>Phrase: </b><i>Je dois partir.</i>|dossier-4 exprimer-une-obligation dossier-4-leçon-1
falloir (il faut)|<b>Meaning</b>: to be necessary (it is necessary)<br><b>Phrase: </b><i>Il faut étudier.</i>|dossier-4 exprimer-une-obligation dossier-4-leçon-1
aller sur Internet|<b>Meaning</b>: to go on the internet<br><b>Phrase: </b><i>Je vais sur Internet.</i>|dossier-4 internet dossier-4-leçon-1
faire un achat en ligne|<b>Meaning</b>: to make an online purchase<br><b>Phrase: </b><i>Je fais un achat en ligne.</i>|dossier-4 internet dossier-4-leçon-1
jouer en ligne|<b>Meaning</b>: to play online<br><b>Phrase: </b><i>Je joue en ligne.</i>|dossier-4 internet dossier-4-leçon-1
regarder ses mails|<b>Meaning</b>: to check one's emails<br><b>Phrase: </b><i>Je regarde mes mails.</i>|dossier-4 internet dossier-4-leçon-1
regarder une vidéo|<b>Meaning</b>: to watch a video<br><b>Phrase: </b><i>Je regarde une vidéo.</i>|dossier-4 internet dossier-4-leçon-1
rester devant son ordinateur|<b>Meaning</b>: to stay in front of one's computer<br><b>Phrase: </b><i>Je reste devant mon ordinateur.</i>|dossier-4 internet dossier-4-leçon-1
s'informer|<b>Meaning</b>: to get information<br><b>Phrase: </b><i>Je m'informe sur Internet.</i>|dossier-4 internet dossier-4-leçon-1
se connecter|<b>Meaning</b>: to connect/log in<br><b>Phrase: </b><i>Je me connecte à Internet.</i>|dossier-4 internet dossier-4-leçon-1
surfer (sur Internet)|<b>Meaning</b>: to surf (the internet)<br><b>Phrase: </b><i>Je surfe sur Internet.</i>|dossier-4 internet dossier-4-leçon-1
un(e) internaute|<b>Meaning</b>: an internet user<br><b>Phrase: </b><i>Il est internaute. / Elle est internaute.</i>|dossier-4 internet dossier-4-leçon-1
après|<b>Meaning</b>: after<br><b>Phrase: </b><i>Après, je rentre à la maison.</i>|dossier-4 la-succession-des-actions dossier-4-leçon-1
d'abord|<b>Meaning</b>: first<br><b>Phrase: </b><i>D'abord, je me lève.</i>|dossier-4 la-succession-des-actions dossier-4-leçon-1
ensuite|<b>Meaning</b>: next<br><b>Phrase: </b><i>Ensuite, je vais au travail.</i>|dossier-4 la-succession-des-actions dossier-4-leçon-1
finalement|<b>Meaning</b>: finally<br><b>Phrase: </b><i>Finalement, je me couche.</i>|dossier-4 la-succession-des-actions dossier-4-leçon-1
puis|<b>Meaning</b>: then<br><b>Phrase: </b><i>Puis, je prends mon petit déjeuner.</i>|dossier-4 la-succession-des-actions dossier-4-leçon-1
avoir du temps|<b>Meaning</b>: to have time<br><b>Phrase: </b><i>J'ai du temps libre.</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
en avance ↑ en retard|<b>Meaning</b>: ahead of time ↑ late<br><b>Phrase: </b><i>Je suis en avance. / Je suis en retard.</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
tôt ↑ tard|<b>Meaning</b>: early ↑ late<br><b>Phrase: </b><i>Il est tôt. / Il est tard.</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
un horaire d'ouverture ↑ de fermeture|<b>Meaning</b>: an opening schedule ↑ closing<br><b>Phrase: </b><i>Quel est l'horaire d'ouverture? / Quel est l'horaire de fermeture?</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
un magasin ouvert ↑ fermé|<b>Meaning</b>: an open ↑ closed store<br><b>Phrase: </b><i>Le magasin est ouvert. / Le magasin est fermé.</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
un moment|<b>Meaning</b>: a moment<br><b>Phrase: </b><i>Un moment, s'il vous plaît.</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
un rythme de vie|<b>Meaning</b>: a rhythm of life/lifestyle<br><b>Phrase: </b><i>J'ai un rythme de vie actif.</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
une heure|<b>Meaning</b>: an hour/a time<br><b>Phrase: </b><i>Quelle heure est-il? / À quelle heure?</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
une journée|<b>Meaning</b>: a day<br><b>Phrase: </b><i>C'est une belle journée.</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
une soirée|<b>Meaning</b>: an evening<br><b>Phrase: </b><i>Bonne soirée!</i>|dossier-4 le-temps-et-les-horaires dossier-4-leçon-1
faire ses devoirs|<b>Meaning</b>: to do one's homework<br><b>Phrase: </b><i>Je fais mes devoirs le soir.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
préparer/prendre le petit déjeuner|<b>Meaning</b>: to prepare/have breakfast<br><b>Phrase: </b><i>Je prépare le petit déjeuner. / Je prends le petit déjeuner.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
rentrer (à la maison)|<b>Meaning</b>: to return (home)<br><b>Phrase: </b><i>Je rentre à la maison après le travail.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
s'amuser|<b>Meaning</b>: to have fun<br><b>Phrase: </b><i>Je m'amuse avec mes amis.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
s'endormir|<b>Meaning</b>: to fall asleep<br><b>Phrase: </b><i>Je m'endors facilement.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
s'habiller|<b>Meaning</b>: to get dressed<br><b>Phrase: </b><i>Je m'habille rapidement.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se brosser les dents|<b>Meaning</b>: to brush one's teeth<br><b>Phrase: </b><i>Je me brosse les dents.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se coiffer|<b>Meaning</b>: to do one's hair<br><b>Phrase: </b><i>Je me coiffe devant le miroir.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se coucher|<b>Meaning</b>: to go to bed<br><b>Phrase: </b><i>Je me couche tard.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se doucher|<b>Meaning</b>: to take a shower<br><b>Phrase: </b><i>Je me douche le matin.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se laver|<b>Meaning</b>: to wash oneself<br><b>Phrase: </b><i>Je me lave le visage.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se lever|<b>Meaning</b>: to get up<br><b>Phrase: </b><i>Je me lève à 7h30.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se maquiller|<b>Meaning</b>: to put on makeup<br><b>Phrase: </b><i>Je me maquille avant de sortir.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se préparer|<b>Meaning</b>: to get ready<br><b>Phrase: </b><i>Je me prépare pour sortir.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se raser|<b>Meaning</b>: to shave<br><b>Phrase: </b><i>Je me rase tous les jours.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se reposer|<b>Meaning</b>: to rest<br><b>Phrase: </b><i>Je me repose le week-end.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
se réveiller|<b>Meaning</b>: to wake up<br><b>Phrase: </b><i>Je me réveille à 7h00.</i>|dossier-4 les-activités-quotidiennes dossier-4-leçon-1
un panneau|<b>Meaning</b>: a sign<br><b>Phrase: </b><i>J'ai vu un panneau.</i>|dossier-4 les-écrits dossier-4-leçon-1
allumer/regarder la télé(vision)|<b>Meaning</b>: to turn on/watch television<br><b>Phrase: </b><i>J'allume la télé. / Je regarde la télévision.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
choisir un film|<b>Meaning</b>: to choose a film/movie<br><b>Phrase: </b><i>Je dois choisir un film.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
la radio|<b>Meaning</b>: the radio<br><b>Phrase: </b><i>J'écoute la radio.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
la télévision|<b>Meaning</b>: the television<br><b>Phrase: </b><i>Je regarde la télévision.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
le journal = les informations = les actualités|<b>Meaning</b>: the newspaper = the news<br><b>Phrase: </b><i>Je lis le journal. / Je regarde les informations. / Je suis les actualités.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
rester devant la télé|<b>Meaning</b>: to stay in front of the TV<br><b>Phrase: </b><i>Je reste devant la télé.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
un clip (musical)|<b>Meaning</b>: a (music) clip<br><b>Phrase: </b><i>J'aime ce clip musical.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
un dessin animé|<b>Meaning</b>: a cartoon<br><b>Phrase: </b><i>Je regarde un dessin animé.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
un documentaire|<b>Meaning</b>: a documentary<br><b>Phrase: </b><i>J'ai vu un documentaire intéressant.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
un écran|<b>Meaning</b>: a screen<br><b>Phrase: </b><i>L'écran de l'ordinateur.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
un feuilleton|<b>Meaning</b>: a soap opera/series<br><b>Phrase: </b><i>Je suis ce feuilleton.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
un film|<b>Meaning</b>: a film/movie<br><b>Phrase: </b><i>Je vais voir un film.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
un match (de football/tennis)|<b>Meaning</b>: a (football/tennis) match<br><b>Phrase: </b><i>Je regarde un match de football. / Je regarde un match de tennis.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
une émission (de télévision)|<b>Meaning</b>: a (television) program/show<br><b>Phrase: </b><i>Quelle est ton émission préférée?</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
une série|<b>Meaning</b>: a series<br><b>Phrase: </b><i>Je regarde une série.</i>|dossier-4 les-médias-et-internet dossier-4-leçon-1
sympathique = sympa (fam.)|<b>Meaning</b>: nice/friendly<br><b>Phrase: </b><i>Il est sympathique. / Il est sympa.</i>|dossier-4 caractériser dossier-4-leçon-2
amener quelqu'un|<b>Meaning</b>: to bring someone<br><b>Phrase: </b><i>Je vais amener un ami.</i>|dossier-4 les-invitations dossier-4-leçon-2
apporter quelque chose à boire ou à manger|<b>Meaning</b>: to bring something to drink or eat<br><b>Phrase: </b><i>Je vais apporter quelque chose à boire. / Je vais apporter quelque chose à manger.</i>|dossier-4 les-invitations dossier-4-leçon-2
confirmer (sa venue)|<b>Meaning</b>: to confirm (one's arrival)<br><b>Phrase: </b><i>Je confirme ma venue.</i>|dossier-4 les-invitations dossier-4-leçon-2
inviter quelqu'un à une fête|<b>Meaning</b>: to invite someone to a party<br><b>Phrase: </b><i>J'invite mes amis à une fête.</i>|dossier-4 les-invitations dossier-4-leçon-2
organiser une fête|<b>Meaning</b>: to organize a party<br><b>Phrase: </b><i>J'organise une fête.</i>|dossier-4 les-invitations dossier-4-leçon-2
répondre à une invitation|<b>Meaning</b>: to respond to an invitation<br><b>Phrase: </b><i>Je réponds à une invitation.</i>|dossier-4 les-invitations dossier-4-leçon-2
un(e) ami(e)|<b>Meaning</b>: a friend<br><b>Phrase: </b><i>C'est mon ami. / C'est mon amie.</i>|dossier-4 les-personnes dossier-4-leçon-2
un(e) voisin(e)|<b>Meaning</b>: a neighbor<br><b>Phrase: </b><i>C'est mon voisin. / C'est ma voisine.</i>|dossier-4 les-personnes dossier-4-leçon-2
accepter ↑ refuser|<b>Meaning</b>: to accept ↑ refuse<br><b>Phrase: </b><i>J'accepte l'invitation. / Je refuse l'invitation.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
aller à une exposition = à une expo (fam.)|<b>Meaning</b>: to go to an exhibition<br><b>Phrase: </b><i>Je vais à une exposition. / Je vais à une expo.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
aller à une soirée|<b>Meaning</b>: to go to a party/evening event<br><b>Phrase: </b><i>Je vais à une soirée.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
aller au cinéma = au ciné (fam.)|<b>Meaning</b>: to go to the cinema<br><b>Phrase: </b><i>Je vais au cinéma. / Je vais au ciné.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
aller au restaurant = au resto (fam.)|<b>Meaning</b>: to go to the restaurant<br><b>Phrase: </b><i>Je vais au restaurant. / Je vais au resto.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
aller en discothèque/dans un club = en boîte (fam.)|<b>Meaning</b>: to go to a discotheque/club<br><b>Phrase: </b><i>Je vais en discothèque. / Je vais en boîte.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
être libre|<b>Meaning</b>: to be free<br><b>Phrase: </b><i>Je suis libre ce soir.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
fixer/avoir un rendez-vous|<b>Meaning</b>: to set/have an appointment<br><b>Phrase: </b><i>Je fixe un rendez-vous. / J'ai un rendez-vous.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
pouvoir|<b>Meaning</b>: to be able to/can<br><b>Phrase: </b><i>Je peux venir.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
prendre un verre/l'apéritif|<b>Meaning</b>: to have a drink/aperitif<br><b>Phrase: </b><i>On va prendre un verre. / On va prendre l'apéritif.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
proposer une sortie|<b>Meaning</b>: to suggest an outing<br><b>Phrase: </b><i>Je propose une sortie.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
regarder son agenda|<b>Meaning</b>: to check one's schedule<br><b>Phrase: </b><i>Je regarde mon agenda.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
se retrouver (à un moment/dans un lieu)|<b>Meaning</b>: to meet (at a time/in a place)<br><b>Phrase: </b><i>On se retrouve à 18h00. / On se retrouve au café.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
vouloir|<b>Meaning</b>: to want<br><b>Phrase: </b><i>Je veux aller au cinéma.</i>|dossier-4 les-rendez-vous-et-sorties dossier-4-leçon-2
d'habitude = en général|<b>Meaning</b>: usually = in general<br><b>Phrase: </b><i>D'habitude, je me lève tôt. / En général, je me lève tôt.</i>|dossier-4 la-régularité-et-la-fréquence dossier-4-leçon-3
le matin = chaque matin = tous les matins|<b>Meaning</b>: in the morning = each morning = every morning<br><b>Phrase: </b><i>Je me lève le matin. / Je me lève chaque matin. / Je me lève tous les matins.</i>|dossier-4 la-régularité-et-la-fréquence dossier-4-leçon-3
souvent|<b>Meaning</b>: often<br><b>Phrase: </b><i>Je vais souvent au cinéma.</i>|dossier-4 la-régularité-et-la-fréquence dossier-4-leçon-3
tous les jours|<b>Meaning</b>: every day<br><b>Phrase: </b><i>Je vais à l'école tous les jours.</i>|dossier-4 la-régularité-et-la-fréquence dossier-4-leçon-3
courir|<b>Meaning</b>: to run<br><b>Phrase: </b><i>J'aime courir.</i>|dossier-4 les-activités dossier-4-leçon-3
danser|<b>Meaning</b>: to dance<br><b>Phrase: </b><i>J'aime danser.</i>|dossier-4 les-activités dossier-4-leçon-3
déjeuner|<b>Meaning</b>: to have lunch<br><b>Phrase: </b><i>Je déjeune à midi.</i>|dossier-4 les-activités dossier-4-leçon-3
dîner|<b>Meaning</b>: to have dinner<br><b>Phrase: </b><i>Je dîne à 20h00.</i>|dossier-4 les-activités dossier-4-leçon-3
dormir|<b>Meaning</b>: to sleep<br><b>Phrase: </b><i>J'aime dormir.</i>|dossier-4 les-activités dossier-4-leçon-3
emmener ↑ aller chercher/reprendre les enfants à l'école|<b>Meaning</b>: to take ↑ to pick up the children from school<br><b>Phrase: </b><i>J'emmène les enfants à l'école. / Je vais chercher les enfants à l'école.</i>|dossier-4 les-activités dossier-4-leçon-3
faire les courses; le ménage; la vaisselle|<b>Meaning</b>: to do the shopping; the housework; the dishes<br><b>Phrase: </b><i>Je fais les courses. / Je fais le ménage. / Je fais la vaisselle.</i>|dossier-4 les-activités dossier-4-leçon-3
ranger|<b>Meaning</b>: to tidy up<br><b>Phrase: </b><i>Je range ma chambre.</i>|dossier-4 les-activités dossier-4-leçon-3
rencontrer des gens|<b>Meaning</b>: to meet people<br><b>Phrase: </b><i>J'aime rencontrer des gens.</i>|dossier-4 les-activités dossier-4-leçon-3
rester au lit|<b>Meaning</b>: to stay in bed<br><b>Phrase: </b><i>Je reste au lit quand je suis malade.</i>|dossier-4 les-activités dossier-4-leçon-3
un journal intime|<b>Meaning</b>: a diary<br><b>Phrase: </b><i>J'écris dans mon journal intime.</i>|dossier-4 les-écrits-et-images dossier-4-leçon-3
une bande dessinée|<b>Meaning</b>: a comic strip<br><b>Phrase: </b><i>J'aime lire des bandes dessinées.</i>|dossier-4 les-écrits-et-images dossier-4-leçon-3
